title,description,year,image,url,url2
Terra Frontend Trial,"A practical frontend development trial to evaluate HTML, SCSS, and JavaScript skills in a real-world scenario.",2026,/Terra.jpeg,https://696cfe18e5d43d26920e6b2f--candid-choux-2e297f.netlify.app/,https://github.com/jauregiazcue/TerraFrontendTrial
Born To Rise,"A videogame published on Steam, Born to Rise, made by me and 17 other amazing developers, were as the responsible for all VFXs, working together with the art and design department, I created, inserted and enhanced all particles for the game, apart from implementing most of the platforms and making the dialogue system.",2023,/BornToRise.jpg,https://store.steampowered.com/app/2432460/Born_to_Rise/,
Terra Vista,"On this semi-profesional experience aimed to emulate the work environment of a real company we develop a website for feedback management. I worked mostly on the backend (even though we all touched all the areas) and I developed most of the controllers such as the user, project and task.On this semi-profesional experience aimed to emulate the work environment of a real company we develop a website for feedback management. I worked mostly on the backend (even though we all touched all the areas) and I developed most of the controllers such as the user, project and task.",2025,/TerraVista.jpeg,https://www.youtube.com/watch?v=cLsBnYXa_Zg,
Zarautz Lost and Found,Created a proof of concept for the lost and found website while updating Zarautz City Hall website.,2025,/LostAndFound.png,,
Harpocrates,"Small website for decoding and generation codes such as Caesar, Atbash, A1Z26, Vigenere and QR Codes.",2025,/Harpocrates.png,https://jauregiazcue.github.io/harpocrates/,https://github.com/jauregiazcue/harpocrates
LoreNomicon,"Semi-profesional experience where 5 developers made a first-person turn based horror adventure made in PS5 in my own engine (Castle Engine). In Castle Engine you could add models and textures, and it had a level editor with Scenes and GameObjects. In the game I made everything that was not sound or light related.",2024,/LoreNomicon.png,https://www.youtube.com/watch?v=hvTNwx6izd8,
LoreNomicon Level Editor,"Simple level editor made using my own engine (Fortress Engine). This level editor was used by the designers of LoreNomicon to create all levels of the game. It has player and enemy generator, tile editor, enemy and player editor, and it saves into a JSON file that is later use by LoreNomicon to generate all the levels.",2024,/LevelEditor.png,,
Palace Engine,"Entity-Component-System architecture engine made in OpenGL Library. It has Deferred Rendering, Lighting System (directional, spot and point light) and Shadow Mapping.",2023,/PalaceEngine.png,,
Fortress Engine,"Small Engine for Voxel Type world generation that was later used to create a Level Editor for LoreNomicon. It had World Generation, Culling, Colour picking or Collision Detection for Voxel Updating, Octrees and Threads.",2023,/FortressEngine.png,,
Procedural World Generation,"World generation using Cellular Automata with world sizes and seeds. A camera that could zoom in and out. Multi Agen System for animals where they have a Calm state (random movement) or a scape/hunt state (using A*), I also implemented markov chain for plants growth and tiles update.",2023,/IAProject.png,,
Meteor Shower,Arcade type game made in Unity where you need to move around enemy waves (or dash through them) to survive the longest.,2022,/MeteorShower.png,https://kai-jauregi.itch.io/meteorshower,
